"ano","mes","faixa_de_valores","total_registros"
"2020","11","601 - 800","5608"
"2020","11","50.001 - 100.000","13"
"2020","10","101 - 300","4837"
"2020","10","10.001 - 50.000","2556"
"2020","09","801 - 1.600","62910"
"2020","09","601 - 800","5592"
"2020","09","101 - 300","4867"
"2020","11","801 - 1.600","63765"
"2020","10","1.601 - 3.000","34214"
"2020","10","3.001 - 10.000","19050"
"2020","11","3.001 - 10.000","19256"
"2020","11","101 - 300","4701"
"2020","11","10.001 - 50.000","2513"
"2020","10","Não responderam","240174"
"2020","10","801 - 1.600","63061"
"2020","10","301 - 600","10081"
"2020","10","0 - 100","953"
"2020","09","1.601 - 3.000","34496"
"2020","09","3.001 - 10.000","19423"
"2020","09","0 - 100","1012"
"2020","10","Mais de 100.000","3"
"2020","11","Não responderam","240053"
"2020","11","1.601 - 3.000","34415"
"2020","11","301 - 600","10227"
"2020","11","0 - 100","883"
"2020","11","Mais de 100.000","4"
"2020","10","601 - 800","5518"
"2020","09","Não responderam","246235"
"2020","09","10.001 - 50.000","2651"
"2020","09","301 - 600","10089"
"2020","10","50.001 - 100.000","14"
"2020","09","50.001 - 100.000","20"
"2020","09","Mais de 100.000","3"
